OPEN_ID,BUY_TXN_ID,TICKER,INSTRUMENT_TYPE,OPTION_SYMBOL,STRIKE,EXPIRY,ACCOUNT_NAME,ACCOUNT_NUMBER,BUY_DATE,BUY_PRICE,BUY_QUANTITY,BUY_AMOUNT,DAYS_HELD,EST_CURRENT_PRICE,EST_UNREALIZED_PCT,EST_UNREALIZED_DOLLAR,NOMINAL_VALUE,LEVERAGE
ff20WVhgeZRI8xP7ANBq,,CRWV,CALL,CRWV280121C00080000,80,2028-01-21,IRA ROTH,,2026-05-12,51.58,1,5157.67,32,5030,-2.48,-127.67,8000.00,1.55
dSNYAU23wHNLG8iRXzgc,,PLTR,CALL,PLTR280121C00100000,100,2028-01-21,IRA,,2026-06-12,52.74,1,5273.67,1,5265,-0.16,-8.67,10000.00,1.90
4k3eDW0Z6e1bAeJJmNfx,,P,CALL,P280121C00070000,70,2028-01-21,IRA,,2026-05-28,27.48,1,2747.67,16,2550,-7.19,-197.67,7000.00,2.55
V603J9GUFcYKTFiHxtOh,,CBRS,CALL,CBRS280121C00170000,170,2028-01-21,IRA ROTH,,2026-06-11,123.97,1,12396.67,2,10800,-12.88,-1596.67,17000.00,1.37
DShdQtupTx02Z2K1JxqB,,FIG,CALL,FIG280121C00020000,20,2028-01-21,IRA,,2026-06-02,12.46,1,1245.67,11,755,-39.39,-490.67,2000.00,1.61
pEBbgJVQgXT3VG23oXtS,,COHR,CALL,COHR280121C00310000,310,2028-01-21,IRA,,2026-06-09,193.25,1,19324.67,4,19900,2.98,575.33,31000.00,1.60
A7yY8qpCPoRGvopEGmW9,,BE,CALL,BE280121C00220000,220,2028-01-21,IRA,,2026-05-07,141.50,1,14150.02,37,14500,2.47,349.98,22000.00,1.55
Ng7Ic7zKMp9DWULyaZfK,,SAP,CALL,SAP280121C00125000,125,2028-01-21,IRA,,2026-06-11,56.61,1,5660.67,2,5600,-1.07,-60.67,12500.00,2.21
Y81SSBfzly8gttPuz2Lf,,SMCI,CALL,SMCI280121C00028000,28,2028-01-21,IRA,,2026-06-10,16.66,1,1665.67,3,1430,-14.15,-235.67,2800.00,1.68
kC0AD72vfxtTbKHbfPqY,,FSLY,CALL,FSLY280121C00020000,20,2028-01-21,IRA ROTH,,2026-05-07,10.70,2,2140.05,37,630,-41.12,-880.05,4000.00,1.87
